ENTRY,AGL thermal conductivity,unit cell stoichiometry,unit cell IUPAC valence,relaxed bravais lattice,space group,Pearson symbol
Ti4Zn8 [5b25eee4521ada34],2.64586,"0.333333333, 0.666666667",32,HEX,194 - P63/mmc,hP12
Tl1Y1 [7a534e0fe4e0e735],2.14867,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Tl1Yb1 [9c68d753a5c1b840],0.857055,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Tl3U1 [e52ccf55c80734d7],1.11481,"0.75, 0.25",15,CUB,221 - Pm3m,cP4
Tl3Y1 [c08b23695db01790],0.572749,"0.75, 0.25",12,CUB,221 - Pm3m,cP4
Tl3Yb1 [18fffe64abba004a],0.220066,"0.75, 0.25",12,CUB,221 - Pm3m,cP4
V4Zr2 [190e395abaa79fb2],0.255099,"0.666666667, 0.333333333",28,FCC,227 - Fd3m,cF24
W4Zr2 [863885947f98efdd],11.6168,"0.666666667, 0.333333333",32,FCC,227 - Fd3m,cF24
Y1Zn1 [440eed1fe4e9897b],9.6607,"0.5, 0.5",5,CUB,221 - Pm3m,cP2
Y6Zn23[997e0b922d713220],1.16646,"0.206896552, 0.793103448",64,FCC,225 - Fm3m,cF116
Yb1Zn1 [813e1fefeed622b3],3.1159,"0.5, 0.5",5,CUB,221 - Pm3m,cP2
Yb3Zn11[520d75012cbeb53b],0.854927,"0.214285714, 0.785714286",31,ORCI,71 - Immm,oI28
Zn1Zr1 [2cb00cb797720fc7],12.747,"0.5, 0.5",6,CUB,221 - Pm3m,cP2
Zn1Zr2 [6e058133ffeede72],7.2779,"0.333333333, 0.666666667",10,BCT,139 - I4/mmm,tI6
Zn44Zr2[a94567bbc05b256c],0.972151,"0.956521739, 0.0434782609",96,FCC,227 - Fd3m,cF184
Zn4Zr2 [631867acd67986cd],6.33605,"0.666666667, 0.333333333",16,FCC,227 - Fd3m,cF24
